"","state","PC_name","O.S.N.","Candidate","Party","EVM.Votes","Postal.Votes","Total.Votes","Pct.of.Votes","NA.","NA..1","Migrant.Votes"
"1","Puducherry","Puducherry","1","Dr. NARAYANASAMY KESAVAN","All India N.R. Congress","247844","112","247956","31.36",NA,NA,NA
"2","Puducherry","Puducherry","2","A.G.PATHIMARAJ","Bahujan Samaj Party","2685","4","2689","0.34",NA,NA,NA
"3","Puducherry","Puducherry","3","Ve. VAITHILINGAM","Indian National Congress","444646","335","444981","56.27",NA,NA,NA
"4","Puducherry","Puducherry","4","K.ARUNACHALAM","Agila India Makkal Kazhagam","2199","2","2201","0.28",NA,NA,NA
"5","Puducherry","Puducherry","5","Dr.M.A.S. SUBRAMANIAN","Makkal Needhi Maiam","38046","22","38068","4.81",NA,NA,NA
"6","Puducherry","Puducherry","6","S. THIRUGNANAM","Anti Corruption Dynamic Party","673","1","674","0.09",NA,NA,NA
"7","Puducherry","Puducherry","7","BASKARAN.S","Puducherry Development  Party","1318","1","1319","0.17",NA,NA,NA
"8","Puducherry","Puducherry","8","MUTHU.U","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","1285","0","1285","0.16",NA,NA,NA
"9","Puducherry","Puducherry","9","S.MOTHILAL","Communist Party of India  (Marxist-Leninist)  (Liberation)","904","1","905","0.11",NA,NA,NA
"10","Puducherry","Puducherry","10","N.SHARMILA BEGUM","Naam Tamilar Katchi","22842","15","22857","2.89",NA,NA,NA
"11","Puducherry","Puducherry","11","K. RAMADOSS","Independent","542","1","543","0.07",NA,NA,NA
"12","Puducherry","Puducherry","12","KRISHNAMURTHY.M","Independent","3579","0","3579","0.45",NA,NA,NA
"13","Puducherry","Puducherry","13","THANGAVELU.S","Independent","1002","0","1002","0.13",NA,NA,NA
"14","Puducherry","Puducherry","14","N. TAMIZH MARANE","Independent","4785","6","4791","0.61",NA,NA,NA
"15","Puducherry","Puducherry","15","TIRAVITAMANKAI@LOURDHUMARY","Independent","870","0","870","0.11",NA,NA,NA
"16","Puducherry","Puducherry","16","IMS. BALAJI","Independent","2546","0","2546","0.32",NA,NA,NA
"17","Puducherry","Puducherry","17","RAMESH.D","Independent","1653","0","1653","0.21",NA,NA,NA
"18","Puducherry","Puducherry","18","V. RAMAMURTHI","Independent","641","1","642","0.08",NA,NA,NA
