state,PC_name,O.S.N.,Candidate,Party,EVM.Votes,Postal.Votes,Total.Votes,Pct.of.Votes,Migrant.Votes,alliance,rank,State.Total.Votes,State.Alliance.Total.Votes,State.Alliance.Pct.of.Votes,Nat.Total.Votes,Nat.Alliance.Total.Votes,Nat.Alliance.Pct.of.Votes
(34) Pondicherry 34,pondicherry,1,Dr. NARAYANASAMY KESAVAN,all india n.r. congress,247844,112,247956,31.36,,NDA,2,790760,247956,31.36,613133300,276159296,45.04
(34) Pondicherry 34,pondicherry,2,A.G.PATHIMARAJ,bahujan samaj party,2685,4,2689,0.34,,OTHER,8,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,3,Ve. VAITHILINGAM,indian national congress,444646,335,444981,56.27,,UPA,1,790760,445886,56.39,613133300,191690558,31.26
(34) Pondicherry 34,pondicherry,4,K.ARUNACHALAM,agila india makkal kazhagam,2199,2,2201,0.28,,OTHER,10,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,5,Dr.M.A.S. SUBRAMANIAN,makkal needhi maiam,38046,22,38068,4.81,,OTHER,3,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,6,S. THIRUGNANAM,anti corruption dynamic party,673,1,674,0.09,,OTHER,17,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,7,BASKARAN.S,puducherry development  party,1318,1,1319,0.17,,OTHER,12,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,8,MUTHU.U,socialist unity centre of india (communist),1285,0,1285,0.16,,OTHER,13,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,9,S.MOTHILAL,communist party of india  (marxist-leninist)  (liberation),904,1,905,0.11,,UPA,15.5,790760,445886,56.39,613133300,191690558,31.26
(34) Pondicherry 34,pondicherry,10,N.SHARMILA BEGUM,naam tamilar katchi,22842,15,22857,2.89,,OTHER,4,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,11,K. RAMADOSS,independent,542,1,543,0.07,,OTHER,19,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,12,KRISHNAMURTHY.M,independent,3579,0,3579,0.45,,OTHER,7,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,13,THANGAVELU.S,independent,1002,0,1002,0.13,,OTHER,14,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,14,N. TAMIZH MARANE,independent,4785,6,4791,0.61,,OTHER,6,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,15,TIRAVITAMANKAI@LOURDHUMARY,independent,870,0,870,0.11,,OTHER,15.5,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,16,IMS. BALAJI,independent,2546,0,2546,0.32,,OTHER,9,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,17,RAMESH.D,independent,1653,0,1653,0.21,,OTHER,11,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,18,V. RAMAMURTHI,independent,641,1,642,0.08,,OTHER,18,790760,96918,12.26,613133300,145283446,23.7
(34) Pondicherry 34,pondicherry,19,NOTA,none of the above,12192,7,12199,1.54,,OTHER,5,790760,96918,12.26,613133300,145283446,23.7
(31) Lakshadweep 31,lakshadweep,1,ABDUL KHADER HAJI,bharatiya janata party,103,22,125,0.27,,NDA,6,47009,1467,3.12,613133300,276159296,45.04
(31) Lakshadweep 31,lakshadweep,2,ALI AKBAR K.,communist party of india,141,2,143,0.3,,UPA,5,47009,45442,96.67,613133300,191690558,31.26
(31) Lakshadweep 31,lakshadweep,3,MOHAMMED FAIZAL PP,nationalist congress party,22796,55,22851,48.61,,UPA,1,47009,45442,96.67,613133300,191690558,31.26
(31) Lakshadweep 31,lakshadweep,4,SHAREEF KHAN,communist party of india  (marxist),419,1,420,0.89,,UPA,4,47009,45442,96.67,613133300,191690558,31.26
(31) Lakshadweep 31,lakshadweep,5,HAMDULLAH SAYEED,indian national congress,21980,48,22028,46.86,,UPA,2,47009,45442,96.67,613133300,191690558,31.26
(31) Lakshadweep 31,lakshadweep,6,DR. MOHAMMED SADIQUE KP,janata dal  (united),1339,3,1342,2.85,,NDA,3,47009,1467,3.12,613133300,276159296,45.04
(31) Lakshadweep 31,lakshadweep,7,NOTA,none of the above,99,1,100,0.21,,OTHER,7,47009,100,0.21,613133300,145283446,23.7
(07) Delhi 07,south delhi,1,RAMESH BIDHURI,bharatiya janata party,685789,1225,687014,56.58,,NDA,1,8679012,4911324,56.59,613133300,276159296,45.04
(07) Delhi 07,south delhi,2,RAGHAV CHADHA,aam aadmi party,319770,201,319971,26.35,,OTHER,2,8679012,1813788,20.9,613133300,145283446,23.7
(07) Delhi 07,south delhi,3,VIJENDER,indian national congress,164394,219,164613,13.56,,UPA,3,8679012,1953900,22.51,613133300,191690558,31.26
(07) Delhi 07,south delhi,4,SIDDHANT GAUTAM,bahujan samaj party,14721,40,14761,1.22,,OTHER,4,8679012,1813788,20.9,613133300,145283446,23.7
(07) Delhi 07,south delhi,5,Aditya Kumar Naveen,hum bhartiya party,3892,0,3892,0.32,,OTHER,6,8679012,1813788,20.9,613133300,145283446,23.7
(07) Delhi 07,south delhi,6,D. K. CHOPRA,all india forward bloc,366,1,367,0.03,,OTHER,22,8679012,1813788,20.9,613133300,145283446,23.7
(07) Delhi 07,south delhi,7,JITENDRA SHARMA,prism,200,0,200,0.02,,OTHER,27,8679012,1813788,20.9,613133300,145283446,23.7
