"survey_date","survey_state","ID_GBIP","gender","age_cat","income_level","religion","education_level","jati","turnout","turnout_14","PC_vote_choice","PC_vote_choice_14","Source"
"2019-02-21","Tamil Nadu","122.174.71.145","Female","(24-34]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"Dravida Munnetra Kazhagam",NA,"AMechTurk"
"2019-02-21","Assam","171.49.191.26","Male","[0-17]","₹60,000 - ₹89,999","Christianity","(02) Primary or Lower 02","(3) Other Backward Castes (OBC) 3","Yes",NA,"Bodoland People's Front",NA,"AMechTurk"
"2019-02-21","Tamil Nadu","59.93.252.65","Male","(44-54]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes",NA,"Bharatiya Janata Party",NA,"AMechTurk"
"2019-02-21","Tamil Nadu","122.174.71.145","Female","(24-34]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"Dravida Munnetra Kazhagam",NA,"AMechTurk"
"2019-02-21","Tamil Nadu","122.174.255.141","Male","(44-54]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes",NA,"Bharatiya Janata Party",NA,"AMechTurk"
"2019-02-21","Telangana","223.230.36.190","Male","(34-44]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"Bharatiya Janata Party",NA,"AMechTurk"
"2019-02-21","Tamil Nadu","106.198.26.36","Male","(24-34]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes",NA,"All India Anna Dravida Munnetra Kazhagam",NA,"AMechTurk"
"2019-02-21","Maharashtra","49.32.30.12","Female","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"Bharatiya Janata Party",NA,"AMechTurk"
"2019-02-21","Tamil Nadu","117.201.23.115","Male","(34-44]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"Dravida Munnetra Kazhagam",NA,"AMechTurk"
"2019-02-21","Maharashtra","49.32.30.12","Female","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"Bharatiya Janata Party",NA,"AMechTurk"
"2019-02-21","Tamil Nadu","122.178.21.21","Male","(24-34]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(4) Scheduled Castes (SC) 4","Yes",NA,"Independent Candidate",NA,"AMechTurk"
"2019-02-21","Gujarat","49.205.52.68","Male","(34-44]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"India National Congress",NA,"AMechTurk"
