states,rurality,age_cat,education_level,gender,totcount,zones
(01) Jammu & Kashmir 01,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  88016,(01) North 01
(01) Jammu & Kashmir 01,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1, 170787,(01) North 01
(01) Jammu & Kashmir 01,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1, 194039,(01) North 01
(01) Jammu & Kashmir 01,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1, 176390,(01) North 01
(01) Jammu & Kashmir 01,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1, 132324,(01) North 01
(01) Jammu & Kashmir 01,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 162439,(01) North 01
(01) Jammu & Kashmir 01,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,  25740,(01) North 01
(01) Jammu & Kashmir 01,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,  56346,(01) North 01
(01) Jammu & Kashmir 01,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,  62261,(01) North 01
(01) Jammu & Kashmir 01,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,  51156,(01) North 01
(01) Jammu & Kashmir 01,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,  36432,(01) North 01
(01) Jammu & Kashmir 01,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,  40666,(01) North 01
(02) Himachal Pradesh 02,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  21267,(01) North 01
(02) Himachal Pradesh 02,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,  39049,(01) North 01
(02) Himachal Pradesh 02,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,  50737,(01) North 01
(02) Himachal Pradesh 02,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,  58459,(01) North 01
(02) Himachal Pradesh 02,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,  57260,(01) North 01
(02) Himachal Pradesh 02,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 100252,(01) North 01
