Year,State,Zones,PC_name,Turnout_Percentage,Vote_Share_Percentage.NDA,Vote_Share_Percentage.UPA,Vote_Share_Percentage.OTHER,NAT_Percentage.Votes.NDA,NAT_Percentage.Votes.UPA,NAT_Percentage.Votes.OTHER,LAG_Vote_Share_Percentage.NDA,LAG_Vote_Share_Percentage.UPA,LAG_Vote_Share_Percentage.OTHER,LAG_Turnout_Percentage,LAG2_Vote_Share_Percentage.NDA,LAG2_Vote_Share_Percentage.UPA,LAG2_Vote_Share_Percentage.OTHER,LAG2_Turnout_Percentage,LAG3_Vote_Share_Percentage.NDA,LAG3_Vote_Share_Percentage.UPA,LAG3_Vote_Share_Percentage.OTHER,LAG3_Turnout_Percentage,LAG_NAT_Percentage.Votes.NDA,LAG_NAT_Percentage.Votes.UPA,LAG_NAT_Percentage.Votes.OTHER,LAG2_NAT_Percentage.Votes.NDA,LAG2_NAT_Percentage.Votes.UPA,LAG2_NAT_Percentage.Votes.OTHER,LAG3_NAT_Percentage.Votes.NDA,LAG3_NAT_Percentage.Votes.UPA,LAG3_NAT_Percentage.Votes.OTHER,AV_ST_Turnout_Percentage,AV_ST_Vote_Share_Percentage.OTHER,AV_ST_Vote_Share_Percentage.UPA,AV_ST_Vote_Share_Percentage.NDA,AV_LAG_ST_Vote_Share_Percentage.NDA,AV_LAG_ST_Vote_Share_Percentage.UPA,AV_LAG_ST_Vote_Share_Percentage.OTHER,AV_LAG_ST_Turnout_Percentage,AV_LAG2_ST_Vote_Share_Percentage.NDA,AV_LAG2_ST_Vote_Share_Percentage.UPA,AV_LAG2_ST_Vote_Share_Percentage.OTHER,AV_LAG2_ST_Turnout_Percentage,AV_LAG3_ST_Vote_Share_Percentage.NDA,AV_LAG3_ST_Vote_Share_Percentage.UPA,AV_LAG3_ST_Vote_Share_Percentage.OTHER,AV_LAG3_ST_Turnout_Percentage
1962,(02) Himachal Pradesh 02,North,mandi,79.15,0,63.56,27.95,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,59.0161226056619,31.3530225435144,68.6469774564856,,,,,,,,,,,,,
1962,(03) Punjab 03,North,bathinda,64.3,0,86.9,13.1,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,firozpur,61.45,0,70.44,26.14,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,amritsar,68.69,0,74.92,21.57,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,gurdaspur,63.62,0,76.57,19.18,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,ludhiana,66.33,0,87.61,7.77,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,patiala,64,0,90.28,9.72,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,sangrur,66.96,0,39.39,34.28,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,hoshiarpur,63.72,0,41.79,38.45,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(03) Punjab 03,North,jalandhar,63.71,0,51.53,27.87,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,63.3678153405542,34.0338002502351,65.966199749765,,,,,,,,,,,,,
1962,(05) Uttarakhand 05,North-Central,tehri garhwal,0,0,0,0,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,28.909770321045,51.3539576983661,48.646042301634,,,,,,,,,,,,,
1962,(05) Uttarakhand 05,North-Central,almora,26.29,0,48.82,23.23,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,28.909770321045,51.3539576983661,48.646042301634,,,,,,,,,,,,,
1962,(05) Uttarakhand 05,North-Central,nainital-udhamsingh nagar,51.91,0,48.93,20.96,,57.8,42.2,,,,,,,,,,,,,,,,,,,,,,28.909770321045,51.3539576983661,48.646042301634,,,,,,,,,,,,,
