"survey_date","survey_state","ID_GBIP","gender","age_cat","income_level","religion","education_level","jati","turnout","turnout_14","PC_vote_choice","PC_vote_choice_14","Source","weeks"
"2019-03-27",NA,"1.186.113.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-30",NA,"1.186.170.183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-27",NA,"1.186.170.189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-04-07","(27) Maharashtra 27","1.186.179.98","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"Bahujan Samaj Party","NDA","SubjectPool",7
"2019-04-17","(27) Maharashtra 27","1.186.181.229","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"UPA","NDA","AMechTurk",5
"2019-02-24","(27) Maharashtra 27","1.186.182.61","(2) Female 2","(24-34]","(01) Less than ₹60,000 01","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,NA,"UPA",NA,"AMechTurk",13
"2019-03-23","(27) Maharashtra 27","1.186.183.82","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"UPA","NDA","AMechTurk",9
"2019-03-04","(27) Maharashtra 27","1.186.185.65","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,NA,"UPA",NA,"AMechTurk",11
"2019-03-04","(27) Maharashtra 27","1.186.229.27","(2) Female 2","(34-44]","(06) ₹6,00,000 and over 06","(2) Muslim 2","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",NA,NA,"UPA",NA,"AMechTurk",11
"2019-04-11","(32) Kerala 32","1.187.115.151","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",6
"2019-04-09",NA,"1.187.128.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",6
"2019-03-11",NA,"1.187.129.246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",10
"2019-03-27",NA,"1.187.132.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-04-02","(27) Maharashtra 27","1.187.136.173","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",7
"2019-04-17","(27) Maharashtra 27","1.187.139.230","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",5
"2019-03-29","(27) Maharashtra 27","1.187.139.237","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",8
"2019-03-10",NA,"1.187.187.238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",11
"2019-03-10","(10) Bihar 10","1.187.243.97","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",11
