"survey_date","survey_state","ID_GBIP","gender","age_cat","income_level","religion","education_level","jati","turnout","turnout_14","PC_vote_choice","PC_vote_choice_14","Source"
"2019-03-08","Delhi","103.83.70.175","Male","(17-24]","₹2,40,000 - ₹5,99,999","Islam","(05) Some Graduate or Higher 05","(6) Others 6","Not heard of upcoming Lok Sabha elections","Yes","India National Congress","India National Congress","SubjectPool"
"2019-03-08","Goa","49.33.242.33","Male","(17-24]","₹6,00,000 and over","Christianity","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Not sure at this point in time",NA,"India National Congress",NA,"SubjectPool"
"2019-03-08","Karnataka","106.206.8.215","Male","(17-24]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(5) Scheduled Tribes (ST) 5","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Uttarakhand","106.215.134.188","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Uttar Pradesh","42.104.78.185","Male","(44-54]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Jammu and Kashmir","169.149.57.95","Male","(24-34]","₹2,40,000 - ₹5,99,999","Islam","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","India National Congress","Jammu & Kashmir National Conference","SubjectPool"
"2019-03-08","Telangana","59.95.76.4","Female","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08",NA,"59.89.216.107","",NA,"","",NA,NA,NA,NA,NA,NA,"SubjectPool"
"2019-03-08","Telangana","49.206.223.42","Male","(34-44]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Karnataka","27.59.19.181","Female","(17-24]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05",NA,"Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08",NA,"117.221.204.69","",NA,"","",NA,NA,NA,NA,NA,NA,"SubjectPool"
"2019-03-08","Bihar","117.97.235.204","Female","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Maharashtra","46.101.36.170","Male","(44-54]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Andra Pradesh","157.48.92.88","Male","(44-54]","₹60,000 - ₹89,999","Christianity","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","YSR Congress Party","YSR Congress Party","SubjectPool"
"2019-03-08","Himachal Pradesh","203.134.198.100","Female","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Kerala","117.242.254.34","Male","(24-34]","₹90,000 - ₹1,19,999","Christianity","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Not sure at this point in time","No","Nationalist Congress Party",NA,"SubjectPool"
"2019-03-08","Madya Pradesh","27.56.243.244","Male","(17-24]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","India National Congress","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Andaman and Nicobar Islands","49.35.38.79","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Telangana","157.48.31.40","Male","(24-34]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes",NA,"YSR Congress Party",NA,"SubjectPool"
"2019-03-08","West Bengal","116.74.234.42","Male","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time",NA,NA,NA,"SubjectPool"
"2019-03-08","Maharashtra","42.106.194.185","Female","(17-24]","₹90,000 - ₹1,19,999","Christianity","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes",NA,"Shiv Sena",NA,"SubjectPool"
"2019-03-08","Uttarakhand","103.217.241.235","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Not sure at this point in time","Yes","Bharatiya Janata Party","India National Congress","SubjectPool"
"2019-03-08","West Bengal","42.110.128.135","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Uttar Pradesh","125.19.184.34","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Punjab","49.35.194.49","Male","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Aam Aadmi Party","India National Congress","SubjectPool"
"2019-03-08","Rajasthan","223.190.69.240","Female","(17-24]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Gujarat","14.139.239.194","Male","(17-24]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Maharashtra","43.243.212.118","Male","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Not sure at this point in time","Yes","Aam Aadmi Party","Aam Aadmi Party","SubjectPool"
"2019-03-08","Punjab","157.39.156.55","Male","(17-24]","₹2,40,000 - ₹5,99,999","Sikhism"," (04) Higher Secondary 04","(6) Others 6","Yes",NA,NA,NA,"SubjectPool"
"2019-03-08","Bihar","223.187.185.0","Female","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Gujarat","150.129.106.56","Male","(34-44]","₹6,00,000 and over","Islam","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","India National Congress","Nationalist Congress Party","SubjectPool"
"2019-03-08","Uttarakhand","117.234.217.151","Female","(17-24]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08",NA,"169.149.38.13","",NA,"","",NA,NA,NA,NA,NA,NA,"SubjectPool"
"2019-03-08","Gujarat","45.250.69.5","Male","(17-24]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes",NA,"India National Congress",NA,"SubjectPool"
"2019-03-08","West Bengal","122.163.63.203","Female","(34-44]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Delhi","106.210.133.210","Female","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time","Yes","Bharatiya Janata Party","India National Congress","SubjectPool"
"2019-03-08","Maharashtra","103.5.135.228","Male","(24-34]","₹1,20,000 - ₹2,39,999","Islam","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Madya Pradesh","47.247.39.157","Female","(24-34]","Less than ₹60,000","Islam","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Not sure at this point in time","Yes","India National Congress","India National Congress","SubjectPool"
"2019-03-08","Gujarat","117.229.34.173","Male","(17-24]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Not sure at this point in time",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Uttar Pradesh","139.167.53.42","Male","(17-24]","₹2,40,000 - ₹5,99,999","Hinduism"," (04) Higher Secondary 04","(2) Forward/General (except Brahmin) 2","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Uttar Pradesh","106.215.208.140","Male","(17-24]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Punjab","157.39.212.149","Female","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Uttar Pradesh","112.110.111.225","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time",NA,"Aam Aadmi Party",NA,"SubjectPool"
"2019-03-08","West Bengal","157.40.29.37","Male","(64-max]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05",NA,"Yes","Yes","India National Congress","All India Trinamool Congress","SubjectPool"
"2019-03-08","Pondicherry","157.46.44.104","Male","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,NA,NA,"SubjectPool"
